i,j,x_m,y_m,wall_distance_m
3,57,0.301602924,0.0113387506,0.0110875152
3,58,0.30184288,0.0124823013,0.0122556597
3,59,0.302112641,0.0137449897,0.0135464607
3,60,0.302416103,0.0151391515,0.0149727972
3,61,0.302757698,0.0166783845,0.0165489007
3,62,0.303142473,0.0183776738,0.0182904969
3,63,0.303576184,0.0202535303,0.0202149625
3,64,0.304065394,0.0223241407,0.0223414993
3,65,0.304617595,0.0246095316,0.0246913248
3,66,0.305241349,0.027131749,0.0272878846
3,67,0.305946447,0.0299150525,0.0301570861
3,68,0.306744093,0.0329861274,0.0333275569
3,69,0.307647121,0.0363743135,0.0368309308
3,70,0.308670242,0.0401118529,0.0407021629
3,71,0.309830333,0.0442341571,0.0449798787
3,72,0.311146772,0.048780094,0.0497067595
3,73,0.312641828,0.0537922937,0.0549299681
3,74,0.314341106,0.0593174758,0.0607016194
3,75,0.316274077,0.0654067934,0.0670793006
3,76,0.318474683,0.0721161963,0.0741266455
3,77,0.320982048,0.0795068067,0.0819139696
3,78,0.323841294,0.0876453073,0.0905189714
3,79,0.327104507,0.0966043328,0.100027508
3,80,0.330831841,0.106462859,0.110534452
3,81,0.335092818,0.117306576,0.122144636
3,82,0.33996783,0.129228238,0.134973903
3,83,0.345549887,0.142327958,0.149150258
3,84,0.351946644,0.156713432,0.164815146
3,85,0.359282761,0.172500065,0.182124864
3,86,0.367702624,0.189810939,0.201252123
3,87,0.3773735,0.208776589,0.222387765
3,88,0.388489175,0.229534509,0.245742673
3,89,0.40127414,0.252228311,0.271549873
3,90,0.415988386,0.277006426,0.300066857
3,91,0.432932884,0.30402022,0.331578158
3,92,0.452455797,0.333421378,0.36639818
3,93,0.474959491,0.365358345,0.404874343
3,94,0.500908365,0.399971617,0.447390547
3,95,0.530837514,0.437387609,0.494371001
3,96,0.565362173,0.477710795,0.546284454
3,97,0.605187852,0.52101378,0.603648879
3,98,0.651120939,0.567324962,0.667036633
3,99,0.704079489,0.616613389,0.737080172
3,100,0.765103707,0.668770525,0.814478361
3,101,0.835365511,0.723588648,0.900003448
3,102,0.916176328,0.780735823,0.994508764
3,103,1.00899211,0.839727621,1.09893724
3,104,1.11541437,0.899896138,1.21433083
3,105,1.23718604,0.960357366,1.34184088
3,106,1.37618092,1.01997857,1.48273962
3,107,1.53438594,1.07734798,1.63843289
3,108,1.71387613,1.13074977,1.81047413
3,109,1.91678296,1.17814756,2.00057989
3,110,2.14525842,1.21717985,2.21064697
3,111,2.40143832,1.24516998,2.44277133
3,112,2.68741004,1.25915188,2.69926901
3,113,3.00519055,1.25591088,2.98269923
3,114,3.35672084,1.23203581,3.29588995
3,115,3.74388159,1.18397659,3.64196604
3,116,4.16853262,1.10809907,4.02438051
3,117,4.63257576,1.00072844,4.44694893
3,118,5.13803732,0.858173409,4.91388751
3,119,5.68716409,0.676725684,5.42985516
3,120,6.28252517,0.452632524,6
4,0,0.299270674,0.000480309129,0
4,1,0.299271223,0.000484213686,3.9429525e-06
4,2,0.299271832,0.000488527814,8.29991945e-06
4,3,0.299272508,0.000493294608,1.31143728e-05
4,4,0.299273257,0.000498561608,1.84343492e-05
4,5,0.299274087,0.000504381327,2.43129291e-05
4,6,0.299275006,0.00051081178,3.08087665e-05
