x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
0.96015,-0.6324,88.156,27.43,92.325,0.0742,287.765,291.55,0.2715,-0.04
0.96737,-0.6324,88.18,27.443,92.352,0.0736,287.763,291.55,0.2716,-0.04
0.97459,-0.6324,88.204,27.457,92.379,0.0731,287.76,291.549,0.2717,-0.04
0.98181,-0.6324,88.228,27.47,92.405,0.0725,287.758,291.549,0.2717,-0.04
0.98903,-0.6324,88.251,27.484,92.431,0.072,287.755,291.549,0.2718,-0.04
0.99625,-0.6324,88.273,27.497,92.457,0.0714,287.753,291.548,0.2719,-0.04
1.00347,-0.6324,88.296,27.51,92.482,0.0709,287.751,291.548,0.272,-0.04
1.01068,-0.6324,88.318,27.523,92.507,0.0704,287.748,291.548,0.272,-0.04
1.0179,-0.6324,88.34,27.536,92.532,0.0699,287.746,291.548,0.2721,-0.04
1.02512,-0.6324,88.361,27.549,92.556,0.0694,287.744,291.547,0.2722,-0.04
1.03234,-0.6324,88.382,27.562,92.58,0.0689,287.742,291.547,0.2723,-0.04
1.03956,-0.6324,88.403,27.575,92.604,0.0684,287.739,291.547,0.2723,-0.03
1.04678,-0.6324,88.423,27.588,92.627,0.0679,287.737,291.547,0.2724,-0.03
1.054,-0.6324,88.444,27.601,92.65,0.0674,287.735,291.547,0.2725,-0.03
-0.527,-0.62492,85.898,35.121,92.8,0.0642,287.721,291.545,0.2729,-0.06
-0.51978,-0.62492,85.847,35.113,92.751,0.0653,287.726,291.546,0.2728,-0.01
-0.51256,-0.62492,85.796,35.105,92.7,0.0663,287.731,291.546,0.2726,-0.01
-0.50534,-0.62492,85.745,35.096,92.649,0.0674,287.735,291.547,0.2725,-0.01
-0.49812,-0.62492,85.693,35.086,92.598,0.0685,287.74,291.547,0.2723,-0.01
-0.4909,-0.62492,85.641,35.075,92.545,0.0696,287.745,291.548,0.2721,-0.01
-0.48368,-0.62492,85.588,35.063,92.492,0.0707,287.75,291.548,0.272,-0.02
-0.47647,-0.62492,85.535,35.051,92.438,0.0718,287.755,291.549,0.2718,-0.02
-0.46925,-0.62492,85.482,35.038,92.384,0.073,287.76,291.549,0.2717,-0.02
-0.46203,-0.62492,85.428,35.024,92.329,0.0741,287.765,291.55,0.2715,-0.02
-0.45481,-0.62492,85.374,35.009,92.273,0.0753,287.77,291.55,0.2713,-0.02
-0.44759,-0.62492,85.319,34.993,92.216,0.0765,287.775,291.551,0.2712,-0.02
-0.44037,-0.62492,85.264,34.976,92.159,0.0777,287.78,291.551,0.271,-0.02
-0.43315,-0.62492,85.209,34.958,92.101,0.0789,287.786,291.552,0.2708,-0.02
-0.42593,-0.62492,85.153,34.94,92.043,0.0801,287.791,291.553,0.2706,-0.02
-0.41871,-0.62492,85.097,34.92,91.983,0.0814,287.796,291.553,0.2705,-0.02
-0.41149,-0.62492,85.041,34.899,91.923,0.0826,287.802,291.554,0.2703,-0.02
-0.40427,-0.62492,84.984,34.877,91.863,0.0839,287.808,291.554,0.2701,-0.02
-0.39705,-0.62492,84.927,34.854,91.801,0.0852,287.813,291.555,0.2699,-0.02
-0.38984,-0.62492,84.87,34.83,91.739,0.0864,287.819,291.556,0.2697,-0.02
-0.38262,-0.62492,84.813,34.805,91.677,0.0878,287.825,291.556,0.2696,-0.02
-0.3754,-0.62492,84.755,34.779,91.614,0.0891,287.83,291.557,0.2694,-0.02
-0.36818,-0.62492,84.697,34.752,91.55,0.0904,287.836,291.557,0.2692,-0.02
-0.36096,-0.62492,84.639,34.723,91.485,0.0917,287.842,291.558,0.269,-0.02
-0.35374,-0.62492,84.581,34.694,91.42,0.0931,287.848,291.559,0.2688,-0.02
-0.34652,-0.62492,84.523,34.663,91.355,0.0944,287.854,291.559,0.2686,-0.02
-0.3393,-0.62492,84.465,34.631,91.289,0.0958,287.86,291.56,0.2684,-0.02
-0.33208,-0.62492,84.407,34.597,91.222,0.0972,287.866,291.561,0.2682,-0.02
-0.32486,-0.62492,84.348,34.562,91.155,0.0986,287.872,291.561,0.268,-0.02
-0.31764,-0.62492,84.29,34.526,91.087,0.1,287.878,291.562,0.2678,-0.02
-0.31042,-0.62492,84.232,34.489,91.019,0.1014,287.884,291.563,0.2676,-0.02
-0.30321,-0.62492,84.173,34.45,90.95,0.1028,287.891,291.563,0.2674,-0.03
-0.29599,-0.62492,84.115,34.41,90.882,0.1042,287.897,291.564,0.2672,-0.03
-0.28877,-0.62492,84.057,34.369,90.812,0.1057,287.903,291.565,0.267,-0.03
-0.28155,-0.62492,83.999,34.326,90.742,0.1071,287.909,291.565,0.2668,-0.03
-0.27433,-0.62492,83.942,34.282,90.672,0.1085,287.916,291.566,0.2666,-0.03
-0.26711,-0.62492,83.885,34.236,90.602,0.11,287.922,291.567,0.2664,-0.03
-0.25989,-0.62492,83.827,34.189,90.531,0.1114,287.928,291.567,0.2661,-0.03
-0.25267,-0.62492,83.771,34.141,90.461,0.1129,287.935,291.568,0.2659,-0.03
-0.24545,-0.62492,83.714,34.091,90.39,0.1143,287.941,291.569,0.2657,-0.03
-0.23823,-0.62492,83.658,34.04,90.319,0.1158,287.948,291.569,0.2655,-0.03
-0.23101,-0.62492,83.603,33.987,90.247,0.1173,287.954,291.57,0.2653,-0.03
-0.22379,-0.62492,83.548,33.933,90.176,0.1187,287.96,291.571,0.2651,-0.03
-0.21658,-0.62492,83.494,33.877,90.105,0.1202,287.967,291.572,0.2649,-0.03
-0.20936,-0.62492,83.44,33.82,90.033,0.1216,287.973,291.572,0.2647,-0.03
-0.20214,-0.62492,83.387,33.761,89.962,0.1231,287.98,291.573,0.2644,-0.03
-0.19492,-0.62492,83.334,33.701,89.891,0.1246,287.986,291.574,0.2642,-0.03
-0.1877,-0.62492,83.283,33.639,89.82,0.126,287.992,291.574,0.264,-0.03
-0.18048,-0.62492,83.232,33.576,89.749,0.1275,287.999,291.575,0.2638,-0.03
-0.17326,-0.62492,83.182,33.512,89.678,0.1289,288.005,291.576,0.2636,-0.04
-0.16604,-0.62492,83.132,33.446,89.608,0.1303,288.011,291.576,0.2634,-0.04
-0.15882,-0.62492,83.084,33.378,89.538,0.1317,288.017,291.577,0.2632,-0.04
-0.1516,-0.62492,83.037,33.309,89.469,0.1331,288.024,291.578,0.263,-0.04
-0.14438,-0.62492,82.991,33.239,89.4,0.1345,288.03,291.578,0.2628,-0.04
-0.13716,-0.62492,82.946,33.167,89.331,0.1359,288.036,291.579,0.2626,-0.04
-0.12995,-0.62492,82.902,33.094,89.264,0.1373,288.042,291.58,0.2624,-0.04
-0.12273,-0.62492,82.859,33.02,89.196,0.1387,288.048,291.58,0.2622,-0.04
-0.11551,-0.62492,82.818,32.944,89.13,0.14,288.054,291.581,0.262,-0.04
-0.10829,-0.62492,82.778,32.867,89.064,0.1413,288.06,291.582,0.2618,-0.04
-0.10107,-0.62492,82.739,32.789,88.999,0.1427,288.065,291.582,0.2616,-0.04
-0.09385,-0.62492,82.702,32.71,88.935,0.1439,288.071,291.583,0.2614,-0.04
-0.08663,-0.62492,82.666,32.629,88.872,0.1452,288.077,291.583,0.2612,-0.04
-0.07941,-0.62492,82.631,32.547,88.81,0.1465,288.082,291.584,0.261,-0.04
-0.07219,-0.62492,82.599,32.464,88.749,0.1477,288.087,291.585,0.2608,-0.04
-0.06497,-0.62492,82.567,32.38,88.69,0.1489,288.093,291.585,0.2607,-0.04
-0.05775,-0.62492,82.538,32.295,88.631,0.1501,288.098,291.586,0.2605,-0.05
-0.05053,-0.62492,82.51,32.209,88.574,0.1512,288.103,291.586,0.2603,-0.05
-0.04332,-0.62492,82.484,32.122,88.518,0.1524,288.108,291.587,0.2601,-0.05
-0.0361,-0.62492,82.459,32.034,88.463,0.1535,288.113,291.587,0.26,-0.05
-0.02888,-0.62492,82.437,31.945,88.41,0.1545,288.117,291.588,0.2598,-0.05
-0.02166,-0.62492,82.416,31.855,88.358,0.1556,288.122,291.588,0.2597,-0.05
-0.01444,-0.62492,82.397,31.765,88.308,0.1566,288.126,291.589,0.2595,-0.05
-0.00722,-0.62492,82.38,31.674,88.259,0.1575,288.131,291.589,0.2594,-0.05
0.0,-0.62492,82.365,31.582,88.212,0.1585,288.135,291.59,0.2592,-0.05
0.00722,-0.62492,82.352,31.489,88.167,0.1594,288.139,291.59,0.2591,-0.05
0.01444,-0.62492,82.341,31.397,88.123,0.1603,288.143,291.591,0.259,-0.05
0.02166,-0.62492,82.332,31.303,88.082,0.1611,288.146,291.591,0.2588,-0.05
0.02888,-0.62492,82.325,31.209,88.042,0.1619,288.15,291.591,0.2587,-0.05
0.0361,-0.62492,82.32,31.115,88.004,0.1627,288.153,291.592,0.2586,-0.05
