x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
0.91684,-0.6324,86.62,20.631,89.043,0.1209,288.043,291.58,0.2617,-0.03
0.92405,-0.6324,86.667,20.635,89.09,0.12,288.039,291.579,0.2619,-0.03
0.93127,-0.6324,86.714,20.639,89.136,0.1191,288.035,291.579,0.262,-0.03
0.93849,-0.6324,86.76,20.644,89.182,0.1182,288.031,291.578,0.2621,-0.03
0.94571,-0.6324,86.805,20.649,89.227,0.1173,288.026,291.578,0.2623,-0.03
0.95293,-0.6324,86.85,20.654,89.273,0.1164,288.022,291.577,0.2624,-0.03
0.96015,-0.6324,86.895,20.66,89.317,0.1155,288.018,291.577,0.2625,-0.03
0.96737,-0.6324,86.939,20.666,89.362,0.1146,288.015,291.577,0.2627,-0.03
0.97459,-0.6324,86.983,20.672,89.406,0.1137,288.011,291.576,0.2628,-0.03
0.98181,-0.6324,87.026,20.679,89.449,0.1129,288.007,291.576,0.2629,-0.03
0.98903,-0.6324,87.069,20.686,89.492,0.112,288.003,291.575,0.2631,-0.03
0.99625,-0.6324,87.111,20.693,89.535,0.1112,287.999,291.575,0.2632,-0.03
1.00347,-0.6324,87.153,20.701,89.578,0.1103,287.995,291.575,0.2633,-0.03
1.01068,-0.6324,87.194,20.709,89.62,0.1095,287.992,291.574,0.2634,-0.03
1.0179,-0.6324,87.235,20.717,89.662,0.1087,287.988,291.574,0.2636,-0.03
1.02512,-0.6324,87.276,20.725,89.703,0.1078,287.984,291.573,0.2637,-0.03
1.03234,-0.6324,87.316,20.734,89.744,0.107,287.98,291.573,0.2638,-0.03
1.03956,-0.6324,87.356,20.743,89.785,0.1062,287.977,291.573,0.2639,-0.03
1.04678,-0.6324,87.395,20.752,89.825,0.1054,287.973,291.572,0.264,-0.03
1.054,-0.6324,87.434,20.761,89.865,0.1046,287.97,291.572,0.2642,-0.04
-0.527,-0.62492,85.446,31.374,91.024,0.0814,287.865,291.561,0.2676,-0.06
-0.51978,-0.62492,85.383,31.367,90.962,0.0826,287.871,291.562,0.2674,-0.0
-0.51256,-0.62492,85.319,31.36,90.9,0.0839,287.877,291.562,0.2672,-0.0
-0.50534,-0.62492,85.254,31.352,90.836,0.0852,287.882,291.563,0.2671,-0.0
-0.49812,-0.62492,85.189,31.344,90.772,0.0865,287.888,291.563,0.2669,-0.0
-0.4909,-0.62492,85.123,31.334,90.707,0.0878,287.894,291.564,0.2667,-0.0
-0.48368,-0.62492,85.056,31.323,90.641,0.0891,287.9,291.565,0.2665,-0.0
-0.47647,-0.62492,84.989,31.312,90.574,0.0904,287.906,291.565,0.2663,-0.0
-0.46925,-0.62492,84.922,31.299,90.506,0.0918,287.912,291.566,0.2661,-0.0
-0.46203,-0.62492,84.854,31.286,90.437,0.0932,287.918,291.567,0.2659,-0.0
-0.45481,-0.62492,84.785,31.271,90.368,0.0946,287.925,291.567,0.2657,-0.0
-0.44759,-0.62492,84.716,31.255,90.298,0.096,287.931,291.568,0.2655,-0.0
-0.44037,-0.62492,84.647,31.238,90.227,0.0974,287.937,291.569,0.2652,-0.0
