node_id,x_over_c,y_over_c,x_m,y_m
113,0.200541,0.057407,0.060162,0.017222
114,0.192689,0.056933,0.057807,0.01708
115,0.184956,0.05642,0.055487,0.016926
116,0.177347,0.055868,0.053204,0.01676
117,0.169863,0.055276,0.050959,0.016583
118,0.162508,0.054645,0.048753,0.016394
119,0.155286,0.053975,0.046586,0.016193
120,0.148197,0.053266,0.044459,0.01598
121,0.141246,0.052519,0.042374,0.015756
122,0.134435,0.051734,0.040331,0.01552
123,0.127767,0.050912,0.03833,0.015274
124,0.121244,0.050052,0.036373,0.015016
125,0.114869,0.049156,0.034461,0.014747
126,0.108645,0.048224,0.032593,0.014467
127,0.102573,0.047256,0.030772,0.014177
128,0.096656,0.046254,0.028997,0.013876
129,0.090897,0.045217,0.027269,0.013565
130,0.085297,0.044146,0.025589,0.013244
131,0.079859,0.043043,0.023958,0.012913
132,0.074586,0.041907,0.022376,0.012572
133,0.069478,0.04074,0.020843,0.012222
134,0.064539,0.039542,0.019362,0.011863
135,0.059769,0.038315,0.017931,0.011494
136,0.055171,0.037058,0.016551,0.011117
137,0.050747,0.035772,0.015224,0.010732
138,0.046499,0.034459,0.01395,0.010338
139,0.042427,0.033119,0.012728,0.009936
140,0.038534,0.031752,0.01156,0.009526
141,0.034821,0.030361,0.010446,0.009108
142,0.03129,0.028944,0.009387,0.008683
143,0.027942,0.027504,0.008383,0.008251
144,0.024778,0.026041,0.007433,0.007812
145,0.0218,0.024555,0.00654,0.007367
146,0.019008,0.023048,0.005702,0.006914
147,0.016404,0.02152,0.004921,0.006456
148,0.013989,0.019971,0.004197,0.005991
149,0.011763,0.018402,0.003529,0.005521
150,0.009728,0.016815,0.002918,0.005044
151,0.007885,0.015209,0.002365,0.004563
152,0.006233,0.013585,0.00187,0.004076
153,0.004775,0.011944,0.001432,0.003583
154,0.003509,0.010285,0.001053,0.003086
155,0.002438,0.00861,0.000731,0.002583
156,0.001561,0.006919,0.000468,0.002076
157,0.000878,0.005212,0.000263,0.001564
158,0.00039,0.00349,0.000117,0.001047
159,9.8e-05,0.001752,2.9e-05,0.000526
160,0.0,0.0,0.0,0.0
161,9.8e-05,-0.001752,2.9e-05,-0.000526
162,0.00039,-0.00349,0.000117,-0.001047
163,0.000878,-0.005212,0.000263,-0.001564
164,0.001561,-0.006919,0.000468,-0.002076
165,0.002438,-0.00861,0.000731,-0.002583
166,0.003509,-0.010285,0.001053,-0.003086
167,0.004775,-0.011944,0.001432,-0.003583
168,0.006233,-0.013585,0.00187,-0.004076
169,0.007885,-0.015209,0.002365,-0.004563
170,0.009728,-0.016815,0.002918,-0.005044
171,0.011763,-0.018402,0.003529,-0.005521
172,0.013989,-0.019971,0.004197,-0.005991
173,0.016404,-0.02152,0.004921,-0.006456
174,0.019008,-0.023048,0.005702,-0.006914
